City,State,Restaurant Name,Dish Name,Dish Category,Restaurant Address,Price,Menu Description,Ingredients,Calories,Protein,Fibre,Sugar,Diet Type,Cooking Method,Gluten-Free,Seed-Oil-Free,Fresh Ingredients,Source,Source URL,Date Collected
Delhi,Delhi,Greenr Cafe,Bangkok Street Tofu Earth Bowl,Bowl,Vasant Vihar Delhi,795,Barnyard millet and tofu amaranth balls,Tofu|Amaranth|Millet,NULL,NULL,NULL,NULL,Vegan,NULL,Yes,Unknown,Yes,JustDial,https://www.justdial.com/Delhi/Greenr-Cafe,2026-09-07
Delhi,Delhi,Fabcafe,Desi Chicken Tikka,Starter,Sunder Nursery Delhi,550,Chicken tikka without butter or cream,Chicken|Spices|Yogurt,380,45,2,0,Non-Vegetarian,Tandoori,Yes,Yes,Yes,EazyDiner,https://www.eazydiner.com/delhi-ncr/fabcafe,2026-09-07
Delhi,Delhi,EatFit,Chicken Tikka Super Bowl,Bowl,Connaught Place Delhi,450,Healthy tandoori chicken bowl with millet,Chicken|Millet|Veggies,NULL,NULL,NULL,NULL,Non-Vegetarian,Tandoori,Unknown,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Delhi,Delhi,Getafix,Quinoa and Grilled Chicken Bowl,Bowl,GK 1 Delhi,495,Quinoa bowl packed with lean protein,Quinoa|Chicken|Greens,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://getafix.in,2026-09-07
Delhi,Delhi,Subway,Tandoori Chicken Salad,Salad,Connaught Place Delhi,320,Tandoori chicken strips with fresh veggies,Chicken|Lettuce|Tomato|Cucumber,NULL,NULL,NULL,NULL,Non-Vegetarian,Tandoori,Unknown,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Gurugram,Haryana,Greenr Cafe,Mexican Baja Black Bean Earth Bowl,Bowl,Sector 15 Gurugram,795,Roasted veggies with black beans and avocado,Black beans|Avocado|Veggies,NULL,NULL,NULL,NULL,Vegan,Roasted,Yes,Unknown,Yes,JustDial,https://www.justdial.com/Gurugram/Greenr-Cafe,2026-09-07
Gurugram,Haryana,Salad Days,Wild Salmon Salad,Salad,Udyog Vihar Gurugram,550,Fresh wild salmon with mixed greens,Salmon|Mixed Greens|Lemon,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://saladdays.co,2026-09-07
Gurugram,Haryana,Fabcafe,Veggie Nutty Salad,Salad,Cyber Hub Gurugram,350,Fresh crunchy vegetables with nuts,Mixed Veggies|Almonds|Walnuts,NULL,NULL,NULL,NULL,Vegan,Raw,Yes,Unknown,Yes,EazyDiner,https://www.eazydiner.com/delhi-ncr/fabcafe,2026-09-07
Gurugram,Haryana,EatFit,Palak Paneer & Millet Khichdi,Main,Sector 49 Gurugram,320,Nutritious palak paneer over millet khichdi,Spinach|Paneer|Millet,NULL,NULL,NULL,NULL,Vegetarian,Steamed,Yes,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Gurugram,Haryana,Subway,Roasted Chicken Salad,Salad,DLF Phase 3 Gurugram,320,Roasted chicken breast with garden greens,Chicken|Lettuce|Tomato|Cucumber,NULL,NULL,NULL,NULL,Non-Vegetarian,Roasted,Unknown,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Noida,Uttar Pradesh,Fabcafe,Berry Blast Smoothie Bowl,Bowl,Sector 104 Noida,350,Fruit smoothie bowl with granola,Berries|Banana|Granola,NULL,NULL,NULL,NULL,Vegetarian,Raw,Unknown,Yes,Yes,EazyDiner,https://www.eazydiner.com/delhi-ncr/fabcafe,2026-09-07
Noida,Uttar Pradesh,EatFit,Fruit Pop Oatmeal Bowl,Breakfast,Sector 63 Noida,220,High fibre oatmeal with fresh fruits,Oats|Apple|Banana|Chia,NULL,NULL,NULL,NULL,Vegetarian,Raw,Unknown,Yes,Yes,Official Website,https://www.eatfit.in,2026-09-07
Noida,Uttar Pradesh,Salad Days,Cottage Cheese & Grilled Veggies Salad,Salad,Sector 62 Noida,350,Protein packed paneer and veggies,Paneer|Zucchini|Bell Peppers,NULL,NULL,NULL,NULL,Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://saladdays.co,2026-09-07
Noida,Uttar Pradesh,Barbeque Nation,Grilled Prawns,Starter,Sector 18 Noida,800,Marinaded prawns grilled on skewers,Prawns|Spices,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://www.barbequenation.com,2026-09-07
Noida,Uttar Pradesh,Pita Pit,Falafel Pita Whole Wheat,Main,Sector 18 Noida,280,Baked falafel in whole wheat pita with fresh veggies,Falafel|Whole Wheat Pita|Veggies,NULL,NULL,NULL,NULL,Vegetarian,Baked,Unknown,Unknown,Yes,Official Website,https://pitapit.in,2026-09-07
Ghaziabad,Uttar Pradesh,EatFit,Egg White & Chicken Keema Bowl,Bowl,Indirapuram Ghaziabad,350,High protein egg whites with lean chicken keema,Egg Whites|Chicken Keema|Spices,NULL,NULL,NULL,NULL,Non-Vegetarian,Steamed,Unknown,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Ghaziabad,Uttar Pradesh,Subway,Paneer Tikka Salad,Salad,Rajnagar Ghaziabad,300,Paneer tikka cubes tossed with fresh salad,Paneer|Lettuce|Tomato|Cucumber,NULL,NULL,NULL,NULL,Vegetarian,Tandoori,Unknown,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Ghaziabad,Uttar Pradesh,Faasos,Moong Dal Chilla,Breakfast,Vaishali Ghaziabad,150,High protein lentil pancake,Moong Dal|Herbs,NULL,NULL,NULL,NULL,Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://www.faasos.com,2026-09-07
Ghaziabad,Uttar Pradesh,Bikanervala,Plain Idli Sambar,Main,Kaushambi Ghaziabad,180,Steamed rice and lentil cakes with lentil soup,Rice|Urad Dal|Lentils,NULL,NULL,NULL,NULL,Vegetarian,Steamed,Yes,Unknown,Yes,Official Website,https://bikanervala.com,2026-09-07
Ghaziabad,Uttar Pradesh,Barbeque Nation,Tandoori Mushroom,Starter,Indirapuram Ghaziabad,700,Mushrooms marinated and grilled,Mushroom|Spices|Yogurt,NULL,NULL,NULL,NULL,Vegetarian,Tandoori,Yes,Unknown,Yes,Official Website,https://www.barbequenation.com,2026-09-07
Mumbai,Maharashtra,Sante Spa Cuisine,Homemade Tofu Ratatouille Bowl,Bowl,BKC Mumbai,520,High protein vegan ratatouille bowl,Tofu|Eggplant|Zucchini|Olive Oil,NULL,NULL,NULL,NULL,Vegan,Baked,Yes,Yes,Yes,MagicPin,https://magicpin.in/Mumbai/BKC/Sante-Spa-Cuisine,2026-09-07
