Dish ID,Dish Name,Restaurant,Restaurant Address,City,Country,Postal Code (ZIP / PIN),Meal Category,Dietary Pattern,Macro Tier,Calories (kcal),Protein (g),Carbs (g),Fat (g),Fiber (g),Net Carbs (g),Estimated Sugar (g),Cooking Fat,Seed-Oil Free,Gluten-Free,Keto-Friendly,Grass-Fed / Pastured,Dairy-Free,Diet Tags,Key Ingredients,Health Highlights,Price,Rating,Reviews Count,Chef & Verification Notes,Latitude,Longitude
in-delhi-110001-1,Desi Clay Oven Chicken Tikka (Zero Batter),Fabcafe (Connaught Place),"Regal Building, CP, Delhi, Delhi 110001",Delhi,India,110001,Clay Oven & Fire Grills,High-Protein Omnivore / Paleo,Super-High Protein (45g+),380,46,12,12,4,8,1,Pure A2 Desi Cow Ghee,YES,YES,YES,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Pasture-raised chicken breast; hung cow milk dahi; Kashmiri degi mirch; roasted ajwain; kassori methi; fresh lemon,46g Clean Protein; Zero Seed Oils; Clay Oven Roasting; Zero Added Sugar; 100% Gluten-Free,₹224,4.8,320,"Boneless chicken breast steeped in hung curd, ginger-garlic, and cold-ground spices. Roasted in traditional clay tandoor without maida or food colors.",28.6058,77.19485
in-delhi-110001-2,Organic Palak Paneer & Foxtail Millet Khichdi,EatFit Organic (Connaught Place),"Regal Building, CP, Delhi, Delhi 110001",Delhi,India,110001,Ancient Millets & Ayurvedic Staples,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),390,26,36,14,9,27,4,Pure A2 Desi Cow Ghee,YES,YES,NO,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Sprouted foxtail millet; pure cow milk paneer cubes; slow-simmered spinach purée; roasted jeera; pink Himalayan salt,26g Dairy & Millet Protein; Pure A2 Cow Ghee; Zero Seed Oils; 9g Dietary Fiber; 100% Gluten-Free,₹204,4.7,224,"Prebiotic superfood bowl cooked with mineral-dense foxtail millets and iron-rich baby spinach. Zero refined oils, naturally gluten-free.",28.61887,77.20564
in-delhi-110001-3,High-Protein Sprouted Moong & Kala Chana Chaat,Healthy Bites (Connaught Place),"Regal Building, CP, Delhi, Delhi 110001",Delhi,India,110001,Pulse & Sprouted Legumes,100% Plant-Based / Vegan,Balanced Clean Protein (20g-34g),260,22,32,4,11,21,4,Cold-Pressed Kachi Ghani Mustard Oil,YES,YES,NO,NO,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Sprouted whole green moong; boiled black chana; diced cucumber & tomatoes; pomegranate arils; fresh lime juice; rock salt,22g Clean Pulse Protein; Raw / Cold-Pressed Mustard Oil; Zero Seed Oils; 11g High Fiber; 100% Gluten-Free,₹374,4.7,287,Bioavailable sprouted pulse chaat tossed raw with digestive roasted cumin and cold-pressed Kachi Ghani oil. Zero cooking loss of vitamins.,28.60698,77.21354
in-delhi-110001-4,Artisanal Cow Milk Paneer Tikka Salad,Greenr Cafe (Connaught Place),"Regal Building, CP, Delhi, Delhi 110001",Delhi,India,110001,Salad & Raw Greens,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),340,28,16,16,6,10,2,Pure A2 Desi Cow Ghee,YES,YES,YES,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Organic grass-fed cow paneer; charred bell peppers & onions; massaged baby greens; mint-coriander emulsion; roasted flaxseed,28g High-Quality Protein; Pure A2 Desi Cow Ghee; Zero Seed Oils; 6g Dietary Fiber; 100% Gluten-Free,₹186,4.9,178,"Freshly coagulated cow milk paneer lightly blistered in clay tandoor. Low carb, high calcium, zero wheat additives.",28.62388,77.21656
in-delhi-110001-5,Coastal Wild Kingfish Tawa Steak,Mojigao Coastal (Connaught Place),"Regal Building, CP, Delhi, Delhi 110001",Delhi,India,110001,Wild Seafood & Coastal,Pescetarian,High Protein (35g-44g),410,44,8,18,4,4,1,Wood-Pressed Virgin Coconut Oil,YES,YES,YES,NO,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Wild-caught coastal kingfish / surmai; freshly ground Malabar pepper; kokum extract; curry leaves; steamed French beans,44g Wild Marine Protein; Wood-Pressed Coconut Oil; Zero Seed Oils; Heart-Healthy Omega 3; 100% Gluten-Free,₹318,4.7,347,"Fresh caught kingfish pan-seared gently in cold-pressed virgin coconut oil with digestive kokum. Zero batter, zero trans-fats.",28.62062,77.19999
in-delhi-110024-1,Artisanal Cow Milk Paneer Tikka Salad,Greenr Cafe (Lajpat Nagar),"Central Market, Lajpat Nagar, Delhi, Delhi 110024",Delhi,India,110024,Salad & Raw Greens,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),340,28,16,16,6,10,2,Pure A2 Desi Cow Ghee,YES,YES,YES,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Organic grass-fed cow paneer; charred bell peppers & onions; massaged baby greens; mint-coriander emulsion; roasted flaxseed,28g High-Quality Protein; Pure A2 Desi Cow Ghee; Zero Seed Oils; 6g Dietary Fiber; 100% Gluten-Free,₹320,4.8,195,"Freshly coagulated cow milk paneer lightly blistered in clay tandoor. Low carb, high calcium, zero wheat additives.",28.61728,77.22098
in-delhi-110024-2,Coastal Wild Kingfish Tawa Steak,Mojigao Coastal (Lajpat Nagar),"Central Market, Lajpat Nagar, Delhi, Delhi 110024",Delhi,India,110024,Wild Seafood & Coastal,Pescetarian,High Protein (35g-44g),410,44,8,18,4,4,1,Wood-Pressed Virgin Coconut Oil,YES,YES,YES,NO,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Wild-caught coastal kingfish / surmai; freshly ground Malabar pepper; kokum extract; curry leaves; steamed French beans,44g Wild Marine Protein; Wood-Pressed Coconut Oil; Zero Seed Oils; Heart-Healthy Omega 3; 100% Gluten-Free,₹212,4.8,322,"Fresh caught kingfish pan-seared gently in cold-pressed virgin coconut oil with digestive kokum. Zero batter, zero trans-fats.",28.62248,77.21302
in-delhi-110024-3,Jowar Bhakri with Sprouted Matki Usal,Swaad Organic (Lajpat Nagar),"Central Market, Lajpat Nagar, Delhi, Delhi 110024",Delhi,India,110024,Ancient Millets & Ayurvedic Staples,100% Plant-Based / Vegan,Balanced Clean Protein (20g-34g),320,21,42,6,10,32,5,Pure A2 Desi Cow Ghee,YES,YES,NO,YES,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,100% Hand-pressed jowar (sorghum) flour; sprouted dew beans (matki); fresh ginger & garlic; tempered mustard seeds; green chili,21g Plant Protein; Pure A2 Ghee; Zero Seed Oils; 10g Millet Fiber; 100% Gluten-Free,₹386,4.8,110,"Ancient grain sorghum roti hand-patted and puffed on cast-iron tawa, served with enzymatic sprouted dew bean curry. 100% gluten-free.",28.623,77.21504
in-delhi-110024-4,Steamed Ragi Mudde with Huruli (Horsegram) Saaru,Karnataka Millets (Lajpat Nagar),"Central Market, Lajpat Nagar, Delhi, Delhi 110024",Delhi,India,110024,Ancient Millets & Ayurvedic Staples,100% Plant-Based / Vegan,Balanced Clean Protein (20g-34g),290,23,38,4,12,26,5,Pure A2 Desi Cow Ghee,YES,YES,NO,YES,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Finger millet (ragi) whole grain flour; horsegram (kulthi) slow broth; crushed peppercorns; fresh coriander roots; curry leaf tadka,23g High-Protein Broth; Pure A2 Cow Ghee; Zero Seed Oils; 12g High Fiber; 100% Gluten-Free,₹259,4.9,250,Legendary Ayurvedic endurance staple. Steamed mineral-rich ragi ball paired with high-protein horsegram broth. Zero seed oils.,28.61143,77.19696
in-delhi-110024-5,High-Protein Sattu & Roasted Jeera Buttermilk Bowl,Bihar Sattu & Grain (Lajpat Nagar),"Central Market, Lajpat Nagar, Delhi, Delhi 110024",Delhi,India,110024,Pulse & Sprouted Legumes,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),270,24,30,5,9,21,4,Cold-Pressed Kachi Ghani Mustard Oil,YES,YES,NO,NO,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Toasted Bengal gram (sattu) flour; churned A2 cow milk chaas; finely chopped shallots & green chilies; kala namak; roasted cumin,24g Clean Pulse Protein; Probiotic Chaas; Zero Seed Oils; 9g Prebiotic Fiber; 100% Gluten-Free,₹265,4.9,311,Cooling powerhouse protein meal with roasted chana flour suspended in churned dahi. Extremely low glycemic index and 100% gluten-free.,28.62793,77.21013
